Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2023,12/31/2023,UBER   TRIP,Travel,Sale,-7.97,
12/30/2023,12/31/2023,UBER   TRIP,Travel,Sale,-6.94,
12/27/2023,12/29/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-11.55,
12/27/2023,12/28/2023,UBER   TRIP,Travel,Sale,-40.90,
12/27/2023,12/28/2023,UBER   TRIP,Travel,Sale,-6.97,
12/28/2023,12/28/2023,UBER   EATS,Food & Drink,Sale,-45.21,
12/27/2023,12/28/2023,UBER   TRIP,Travel,Sale,-6.91,
12/27/2023,12/27/2023,AMA LA VIDA,Professional Services,Sale,-9.99,
12/24/2023,12/25/2023,BANGKOK BAY THAI,Food & Drink,Sale,-81.56,
12/21/2023,12/22/2023,Amazon.com*IR2R54G63,Shopping,Sale,-12.36,
12/21/2023,12/22/2023,COURSRA98KIUW5D1217SK,Education,Sale,-49.00,
12/20/2023,12/21/2023,UBER   TRIP,Travel,Sale,-47.93,
12/20/2023,12/20/2023,AUTOMATIC PAYMENT - THANK,,Payment,335.68,
12/19/2023,12/20/2023,CAPSULE PHARMACY,Health & Wellness,Sale,-32.61,
12/18/2023,12/19/2023,DD DOORDASH FLATTOPGR,Food & Drink,Sale,-39.34,
12/15/2023,12/17/2023,UBER   TRIP,Travel,Sale,-6.91,
12/15/2023,12/17/2023,UBER   TRIP,Travel,Sale,-5.63,
12/14/2023,12/15/2023,Spotify USA,Bills & Utilities,Sale,-11.98,
12/12/2023,12/12/2023,DIVVYBI*1 RIDE,Travel,Sale,-3.84,
12/02/2023,12/04/2023,HAMPTON INNS,Travel,Sale,-532.65,
12/04/2023,12/04/2023,LYFT   *1 RIDE 12-02,Travel,Sale,-31.99,
12/03/2023,12/04/2023,VENTRA ACCOUNT,Travel,Sale,-2.25,
12/03/2023,12/04/2023,UBER   TRIP,Travel,Sale,-6.82,
12/03/2023,12/03/2023,UBER   TRIP,Travel,Sale,-39.98,
12/02/2023,12/03/2023,XSPORT LAKEVIEW-CKFR,Health & Wellness,Sale,-49.95,
11/30/2023,12/03/2023,Touchtunes.helpshift.com,Entertainment,Sale,-15.00,
11/30/2023,12/01/2023,MCDONALD'S F17277,Food & Drink,Sale,-12.85,
11/28/2023,12/01/2023,AIRSPACE LOUNGE-SAN,Food & Drink,Sale,-6.46,
11/27/2023,11/27/2023,AMA LA VIDA,Professional Services,Sale,-9.99,
11/23/2023,11/23/2023,LYFT   *1 RIDE 11-21,Travel,Sale,-8.80,
11/21/2023,11/22/2023,COURSRA98KIUW5D1217SK,Education,Sale,-49.00,
11/21/2023,11/22/2023,VENTRA ACCOUNT,Travel,Sale,-2.50,
11/20/2023,11/20/2023,AUTOMATIC PAYMENT - THANK,,Payment,448.83,
11/18/2023,11/19/2023,VENTRA ACCOUNT,Travel,Sale,-5.00,
11/17/2023,11/19/2023,VENTRA ACCOUNT,Travel,Sale,-2.50,
11/14/2023,11/15/2023,Spotify USA,Bills & Utilities,Sale,-11.98,
11/14/2023,11/14/2023,DIVVYBI*1 RIDE,Travel,Sale,-2.39,
11/05/2023,11/07/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-8.02,
11/06/2023,11/06/2023,TST* Tanuki Sushi,Food & Drink,Sale,-14.34,
11/03/2023,11/05/2023,MARIANOS 538,Groceries,Sale,-6.15,
11/04/2023,11/05/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-2.75,
11/04/2023,11/05/2023,MARIANOS 538,Groceries,Sale,-8.99,
11/03/2023,11/05/2023,CAPSULE PHARMACY,Health & Wellness,Sale,-30.61,
11/02/2023,11/03/2023,XSPORT LAKEVIEW-CKFR,Health & Wellness,Sale,-49.95,
10/31/2023,11/01/2023,MARIANOS 538,Groceries,Sale,-21.54,
10/27/2023,10/27/2023,AMA LA VIDA,Professional Services,Sale,-9.99,
10/25/2023,10/26/2023,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
10/23/2023,10/25/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-11.70,
10/24/2023,10/25/2023,AMZN Mktp US*FZ8G45V73,Shopping,Sale,-47.39,
10/23/2023,10/25/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-10.12,
10/24/2023,10/25/2023,Amazon.com*IR1696ZG3,Shopping,Sale,-21.96,
10/22/2023,10/23/2023,VENTRA ACCOUNT,Travel,Sale,-2.50,
10/23/2023,10/23/2023,DIVVYBI*1 RIDE,Travel,Sale,-5.21,
10/23/2023,10/23/2023,AMZN Mktp US*K22B50SV3,Shopping,Sale,-19.83,
10/21/2023,10/22/2023,COURSRA98KIUW5D1217SK,Education,Sale,-49.00,
10/20/2023,10/20/2023,AUTOMATIC PAYMENT - THANK,,Payment,294.47,
10/16/2023,10/18/2023,KLM NETHERLA0744104141458,Travel,Sale,-31.68,
10/15/2023,10/16/2023,Wolt,Food & Drink,Sale,-33.11,
10/13/2023,10/15/2023,STIFLER POOL,Food & Drink,Sale,-6.68,
10/14/2023,10/15/2023,Spotify USA,Bills & Utilities,Sale,-11.98,
10/14/2023,10/15/2023,NEMZETI DOHA'NYBOLT,Shopping,Sale,-19.13,
10/04/2023,10/06/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-18.39,
10/02/2023,10/04/2023,STARBUCKS STORE 26368,Food & Drink,Sale,-4.37,
10/03/2023,10/03/2023,LYFT   *1 RIDE 10-01,Travel,Sale,-3.38,
10/01/2023,10/03/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-5.10,
10/02/2023,10/03/2023,XSPORT LAKEVIEW-CKFR,Health & Wellness,Sale,-49.95,
10/01/2023,10/02/2023,LANGES LIQUORS,Food & Drink,Sale,-45.00,
09/30/2023,10/01/2023,VENTRA ACCOUNT,Travel,Sale,-2.50,
09/29/2023,10/01/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-4.68,
09/29/2023,10/01/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-2.81,
09/30/2023,10/01/2023,PARROTS BAR &amp; GRILL,Food & Drink,Sale,-10.22,
09/28/2023,09/29/2023,Amazon.com*T19KT4940,Shopping,Sale,-6.88,
09/27/2023,09/28/2023,CAPSULE PHARMACY,Health & Wellness,Sale,-32.33,
09/26/2023,09/28/2023,Touchtunes.helpshift.com,Entertainment,Sale,-14.00,
09/27/2023,09/27/2023,AMA LA VIDA,Professional Services,Sale,-9.99,
09/25/2023,09/27/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-3.63,
09/25/2023,09/26/2023,LIM*RIDE COST,Entertainment,Sale,-3.64,
09/26/2023,09/26/2023,DIVVYBI*1 RIDE,Travel,Sale,-3.84,
09/22/2023,09/24/2023,COURSRA98KIUW5D1217SK,Education,Sale,-49.00,
09/20/2023,09/22/2023,2WRIGLEY FIELD,Food & Drink,Sale,-17.70,
09/20/2023,09/20/2023,AUTOMATIC PAYMENT - THANK,,Payment,1451.10,
09/16/2023,09/18/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-8.79,
09/14/2023,09/15/2023,Spotify USA,Bills & Utilities,Sale,-11.98,
09/11/2023,09/12/2023,SP GORJANA,Shopping,Return,318.75,
09/11/2023,09/12/2023,STORE*SUSHI-SAN,Food & Drink,Sale,-5.00,
09/08/2023,09/10/2023,CAFFE' LE LOGGE RISTORANT,Food & Drink,Sale,-11.70,
09/09/2023,09/10/2023,BAR LA COSTARELLA,Food & Drink,Sale,-26.87,
09/07/2023,09/08/2023,TIGER ITALIA 1 SRL,Shopping,Sale,-9.14,
09/07/2023,09/08/2023,AUTOGRILL 7017,Food & Drink,Sale,-5.38,
09/06/2023,09/07/2023,O SARICINO  P  AVITABILE,Shopping,Sale,-5.40,
09/06/2023,09/07/2023,BAR KLINGSOR,Food & Drink,Sale,-5.40,
09/05/2023,09/06/2023,THAT S PANARO SRL,Food & Drink,Sale,-14.05,
09/04/2023,09/05/2023,A &amp; G COFFEE SRL,Food & Drink,Sale,-14.15,
09/03/2023,09/04/2023,SUPERMERCATO CARREFOUR M,Shopping,Sale,-2.17,
09/02/2023,09/04/2023,FARMACI,Health & Wellness,Sale,-2.72,
09/02/2023,09/03/2023,XSPORT LAKEVIEW-CKFR,Health & Wellness,Sale,-49.95,
08/31/2023,09/01/2023,AMZN Mktp US*T321O0SB1,Shopping,Sale,-8.81,
08/29/2023,08/30/2023,STUBHUB  INC.,Entertainment,Sale,-45.20,
08/27/2023,08/29/2023,LOS TRES PANCHOS,Food & Drink,Sale,-26.07,
08/25/2023,08/27/2023,Touchtunes.helpshift.com,Entertainment,Sale,-14.00,
08/27/2023,08/27/2023,AMA LA VIDA,Professional Services,Sale,-9.99,
08/22/2023,08/23/2023,CAPSULE PHARMACY,Health & Wellness,Sale,-32.33,
08/21/2023,08/22/2023,DD *PEQUODSPIZZA,Food & Drink,Sale,-30.55,
08/21/2023,08/22/2023,COURSRA98KIUW5D1217SK,Education,Sale,-49.00,
08/21/2023,08/22/2023,DD *BIGBITESUSH,Food & Drink,Sale,-0.17,
08/22/2023,08/22/2023,DIVVYBI*1 RIDE,Travel,Sale,-3.87,
08/20/2023,08/20/2023,AUTOMATIC PAYMENT - THANK,,Payment,3080.85,
08/18/2023,08/20/2023,VENTRA ACCOUNT,Travel,Sale,-2.50,
08/15/2023,08/17/2023,UNITED      0162319839307,Travel,Sale,-405.80,
08/15/2023,08/16/2023,SQ *CAFE DEKO,Food & Drink,Sale,-5.59,
08/15/2023,08/16/2023,SP GORJANA,Shopping,Sale,-318.75,
08/15/2023,08/16/2023,PAPIER,Shopping,Sale,-29.74,
08/16/2023,08/16/2023,Amazon.com*TO0FL7571,Shopping,Sale,-121.26,
08/14/2023,08/15/2023,TST* MATILDA,Food & Drink,Sale,-18.62,
08/14/2023,08/15/2023,MARIANOS 538,Groceries,Sale,-94.76,
08/14/2023,08/15/2023,Spotify USA,Bills & Utilities,Sale,-10.89,
08/13/2023,08/14/2023,PARROTS BAR &amp; GRILL,Food & Drink,Sale,-8.94,
08/12/2023,08/14/2023,PARKINGCOM,Travel,Sale,-12.35,
08/12/2023,08/14/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-15.78,
08/13/2023,08/14/2023,VENTRA ACCOUNT,Travel,Sale,-2.50,
08/13/2023,08/13/2023,DIVVYBI*1 RIDE,Travel,Sale,-3.50,
